Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance,Inflight_wifi_service,Departure_Arrival_time_convenient,Ease_of_Online_booking,Food_and_drink,Seat_comfort,Inflight_entertainment,Onboard_service,Leg_room_service,Baggage_handling,Checkin_service,Cleanliness,Online_boarding,Satisfaction
Male,Loyal Customer,51,Personal,Economy,3271,2,2,1,1,2,3,2,2,4,1,0,0,Satisfied
Male,Disloyal Customer,44,Personal,Economy Plus,1964,3,2,3,5,3,5,3,0,4,1,3,0,Satisfied
Female,Disloyal Customer,50,Personal,Economy Plus,295,1,0,2,0,3,5,5,4,2,4,1,4,Neutral or Dissatisfied
Female,Loyal Customer,38,Business,Economy,1817,2,3,1,0,2,2,5,3,0,4,4,4,Satisfied
Female,Loyal Customer,66,Business,Economy Plus,4671,5,0,1,2,4,0,3,0,3,1,0,5,Satisfied
Female,Loyal Customer,68,Personal,Business,1352,0,1,0,1,2,1,5,3,3,1,1,5,Neutral or Dissatisfied
Male,Loyal Customer,60,Personal,Business,3742,1,3,2,3,3,5,5,1,4,3,2,3,Satisfied
Male,Disloyal Customer,21,Personal,Economy,1446,3,2,3,2,4,2,2,4,1,3,5,1,Neutral or Dissatisfied
Male,Disloyal Customer,32,Business,Economy,3797,4,2,4,4,5,4,2,2,3,3,3,5,Satisfied
Male,Disloyal Customer,49,Business,Economy Plus,3993,4,2,5,1,3,4,5,0,0,0,1,3,Satisfied
Male,Disloyal Customer,24,Business,Business,4832,3,2,4,0,1,0,0,0,0,0,3,5,Neutral or Dissatisfied
Female,Disloyal Customer,52,Personal,Business,4010,5,2,3,3,1,0,4,2,0,4,2,5,Satisfied
Male,Loyal Customer,60,Business,Business,393,1,5,5,0,3,0,4,0,3,4,1,1,Satisfied
Male,Disloyal Customer,59,Business,Economy,4750,1,2,3,2,1,0,5,5,0,2,2,3,Satisfied
Male,Loyal Customer,36,Personal,Economy,2970,5,2,3,1,1,3,2,4,5,1,3,4,Neutral or Dissatisfied
Male,Disloyal Customer,56,Personal,Economy Plus,3713,2,0,0,2,3,5,1,0,2,1,1,2,Neutral or Dissatisfied
Female,Disloyal Customer,50,Business,Economy Plus,1209,2,1,4,1,2,4,4,2,1,2,2,0,Neutral or Dissatisfied
Male,Disloyal Customer,40,Personal,Business,2698,3,4,5,2,5,0,1,0,5,3,5,1,Neutral or Dissatisfied
Male,Disloyal Customer,57,Personal,Economy Plus,2750,3,0,3,5,3,4,2,2,4,0,3,5,Neutral or Dissatisfied
Female,Loyal Customer,35,Business,Economy Plus,4252,3,4,2,4,4,5,5,2,3,4,3,1,Neutral or Dissatisfied
Male,Disloyal Customer,33,Personal,Economy Plus,445,5,1,1,2,4,0,5,3,0,3,0,3,Neutral or Dissatisfied
Female,Disloyal Customer,18,Business,Economy,372,0,5,5,2,2,1,1,0,2,1,0,1,Satisfied
Male,Disloyal Customer,68,Personal,Business,806,5,0,0,1,0,2,2,4,4,2,5,5,Satisfied
Male,Disloyal Customer,32,Business,Economy,2228,1,1,1,0,1,2,4,4,3,5,2,5,Satisfied
Male,Disloyal Customer,45,Business,Business,4406,0,1,3,2,1,5,3,1,0,4,5,1,Neutral or Dissatisfied
Female,Disloyal Customer,32,Business,Economy Plus,4518,4,3,5,0,5,4,1,1,5,5,5,4,Neutral or Dissatisfied
Female,Disloyal Customer,37,Personal,Economy Plus,618,1,0,0,5,4,4,3,3,5,4,3,0,Satisfied
Female,Disloyal Customer,52,Business,Business,1320,1,2,3,1,4,3,5,2,2,2,2,5,Neutral or Dissatisfied
Male,Loyal Customer,66,Personal,Economy Plus,2518,2,3,2,1,1,2,2,3,3,1,1,5,Satisfied
Male,Disloyal Customer,60,Personal,Business,3003,0,3,3,1,2,3,2,0,2,2,0,3,Satisfied
Female,Disloyal Customer,38,Business,Business,3685,4,5,4,2,1,2,5,2,3,3,0,0,Satisfied
Male,Disloyal Customer,60,Personal,Economy Plus,2068,0,4,4,0,0,1,1,4,0,5,5,4,Neutral or Dissatisfied
Male,Disloyal Customer,33,Personal,Economy,2460,5,5,1,0,2,0,0,4,2,0,2,4,Satisfied
Female,Loyal Customer,28,Business,Economy Plus,139,0,1,4,5,0,4,5,4,0,1,5,1,Satisfied
Female,Loyal Customer,55,Personal,Business,488,4,2,5,1,5,5,0,3,4,0,0,0,Neutral or Dissatisfied
Female,Disloyal Customer,31,Personal,Business,4097,4,2,4,5,3,2,3,1,5,4,5,2,Neutral or Dissatisfied
Female,Loyal Customer,60,Business,Economy,1237,4,0,3,0,3,5,1,5,4,2,5,0,Satisfied
Female,Disloyal Customer,53,Personal,Economy,4371,4,3,2,2,3,4,4,3,5,5,0,5,Satisfied
Male,Disloyal Customer,24,Personal,Economy Plus,4750,1,1,5,4,4,0,3,5,5,2,5,4,Satisfied
Male,Disloyal Customer,36,Business,Business,4638,4,2,2,2,1,3,5,3,4,5,1,4,Satisfied
Female,Disloyal Customer,68,Business,Economy,995,0,5,1,2,3,5,5,1,3,2,0,3,Neutral or Dissatisfied
Female,Loyal Customer,38,Personal,Economy,2552,2,2,0,0,3,1,1,3,1,4,3,2,Satisfied
Female,Loyal Customer,40,Personal,Business,3381,3,4,2,2,0,0,2,0,5,0,1,2,Satisfied
Female,Loyal Customer,62,Business,Business,3993,3,3,5,3,1,4,2,2,2,0,0,2,Neutral or Dissatisfied
Female,Loyal Customer,58,Personal,Business,4978,2,1,2,4,0,5,4,1,1,2,1,3,Neutral or Dissatisfied
Female,Loyal Customer,32,Business,Economy Plus,3429,4,4,5,2,1,5,0,5,3,1,4,2,Neutral or Dissatisfied
Female,Loyal Customer,56,Personal,Economy,3078,3,4,0,5,1,5,4,0,1,2,5,4,Neutral or Dissatisfied
Female,Loyal Customer,59,Personal,Economy Plus,3654,2,3,4,4,4,5,5,1,4,3,3,2,Neutral or Dissatisfied
Male,Loyal Customer,47,Business,Economy Plus,4168,0,3,5,5,5,2,0,3,2,0,2,2,Neutral or Dissatisfied
Female,Loyal Customer,27,Personal,Business,246,3,3,1,4,5,2,0,0,4,3,5,0,Satisfied
Female,Disloyal Customer,47,Personal,Economy Plus,1626,4,2,3,3,5,4,0,1,2,3,3,0,Neutral or Dissatisfied
Female,Disloyal Customer,38,Business,Business,1902,1,5,5,2,0,0,2,1,4,3,4,1,Neutral or Dissatisfied
Male,Loyal Customer,35,Business,Business,389,2,0,5,2,4,5,3,1,4,0,5,5,Satisfied
Male,Loyal Customer,63,Business,Economy,3417,0,5,3,3,0,4,0,1,0,1,0,5,Satisfied
Female,Disloyal Customer,29,Business,Economy Plus,1011,4,1,4,3,5,2,1,3,5,5,4,1,Neutral or Dissatisfied
Female,Loyal Customer,64,Personal,Business,4677,4,5,4,2,0,2,0,4,3,2,2,2,Satisfied
Male,Loyal Customer,43,Personal,Economy Plus,4986,1,2,0,3,4,0,0,5,2,5,3,4,Satisfied
Female,Loyal Customer,30,Business,Business,3775,3,5,2,5,1,3,0,4,4,0,4,4,Satisfied
Male,Disloyal Customer,50,Business,Business,2849,4,2,1,2,0,4,2,0,3,1,4,1,Neutral or Dissatisfied
Female,Disloyal Customer,69,Personal,Economy,4841,5,3,4,5,2,5,0,3,3,0,5,4,Neutral or Dissatisfied
Female,Loyal Customer,40,Personal,Business,2691,0,1,2,5,5,1,2,5,5,1,2,3,Neutral or Dissatisfied
Female,Disloyal Customer,65,Personal,Business,4391,0,1,3,4,3,2,0,2,5,4,2,0,Satisfied
Male,Loyal Customer,59,Business,Business,825,3,5,4,3,5,1,5,3,0,2,3,4,Satisfied
Male,Loyal Customer,52,Personal,Economy,3020,0,5,3,4,5,1,0,1,3,1,2,4,Neutral or Dissatisfied
Female,Loyal Customer,64,Business,Business,4529,0,2,4,0,2,5,5,3,2,1,4,0,Neutral or Dissatisfied
Male,Loyal Customer,60,Business,Economy Plus,4778,4,0,1,1,0,1,5,0,3,2,0,2,Satisfied
Male,Loyal Customer,55,Business,Economy,876,0,4,2,0,0,3,5,0,3,2,0,4,Satisfied
Female,Loyal Customer,54,Business,Economy Plus,2572,4,0,4,0,3,4,5,3,1,0,0,2,Neutral or Dissatisfied
Female,Disloyal Customer,27,Personal,Economy,1119,2,4,3,4,1,1,0,2,0,3,1,0,Neutral or Dissatisfied
Female,Disloyal Customer,61,Personal,Business,2804,3,5,4,0,2,2,4,0,0,0,4,1,Neutral or Dissatisfied
Male,Loyal Customer,24,Business,Business,1951,5,2,5,4,0,0,1,0,0,0,1,4,Neutral or Dissatisfied
Male,Disloyal Customer,40,Business,Economy,1540,3,0,2,0,5,0,0,2,5,0,0,4,Satisfied
Male,Disloyal Customer,34,Personal,Economy Plus,3425,1,0,2,5,2,5,0,0,1,5,2,0,Neutral or Dissatisfied
Male,Loyal Customer,42,Business,Economy,1665,3,0,0,1,1,2,2,0,1,3,3,4,Satisfied
Male,Loyal Customer,46,Business,Business,270,0,2,1,4,0,5,4,2,3,3,5,0,Satisfied
Male,Loyal Customer,23,Business,Business,1470,2,5,3,2,4,4,4,0,3,2,1,3,Neutral or Dissatisfied
Female,Disloyal Customer,55,Business,Economy,1732,5,4,3,3,3,1,3,5,3,4,3,0,Satisfied
Male,Loyal Customer,61,Personal,Business,4160,1,0,2,2,3,1,3,2,5,2,4,4,Neutral or Dissatisfied
Female,Disloyal Customer,36,Business,Business,4376,3,5,5,4,4,5,1,3,0,5,2,2,Neutral or Dissatisfied
Male,Loyal Customer,58,Business,Economy Plus,4665,1,0,3,5,5,3,1,2,0,3,1,0,Neutral or Dissatisfied
Female,Disloyal Customer,51,Personal,Business,1496,2,3,1,2,1,5,2,3,1,5,4,2,Neutral or Dissatisfied
Male,Disloyal Customer,52,Personal,Economy Plus,3785,0,1,3,5,3,5,3,5,5,5,3,0,Satisfied
Male,Disloyal Customer,69,Personal,Economy,1233,1,5,4,4,4,2,1,4,3,3,0,2,Neutral or Dissatisfied
Female,Disloyal Customer,32,Personal,Economy Plus,1278,5,1,3,1,5,3,5,2,0,5,1,0,Neutral or Dissatisfied
Female,Disloyal Customer,35,Business,Business,2428,4,4,2,5,2,4,3,2,1,4,5,3,Neutral or Dissatisfied
Male,Loyal Customer,21,Personal,Economy Plus,3478,3,3,1,5,0,4,1,2,0,1,2,3,Neutral or Dissatisfied
